Stock_Code,Start_Price,End_Price
A3D.AX,0.0700000002980232,0.0750000029802322
ACP.AX,0.0219999998807907,0.0179999992251396
ATR.AX,0.7699999809265137,0.8199999928474426
BOL.AX,0.1500000059604644,0.1400000005960464
BRE.AX,3.259999990463257,2.8299999237060547
CBA.AX,121.2588577270508,135.38999938964844
CCO.AX,0.0130000002682209,0.0099999997764825
CE1.AX,0.0036999892909079,0.0089999996125698
COV.AX,0.324999988079071,0.3799999952316284
DRO.AX,1.350000023841858,1.3650000095367432
DXN.AX,0.0469999983906745,0.0790000036358833
EGL.AX,0.3100000023841858,0.4099999964237213
EQT.AX,32.50704574584961,31.649999618530273
EVO.AX,0.7022467851638794,0.8149999976158142
FGG.AX,1.284863352775574,1.3600000143051147
FHE.AX,0.4699999988079071,0.2199999988079071
FPH.AX,28.58872985839844,32.11000061035156
FSF.AX,3.67913818359375,4.650000095367432
GDG.AX,2.331428527832031,2.8299999237060547
GMG.AX,34.70965576171875,36.9900016784668
GNC.AX,9.084481239318848,9.199999809265137
HMC.AX,7.415341377258301,8.199999809265137
HUB.AX,44.33357238769531,58.369998931884766
HYT.AX,0.0309999994933605,0.0540000014007091
IFT.AX,10.25765800476074,11.40999984741211
JAT.AX,0.6650000214576721,0.7900000214576721
LTP.AX,0.6399999856948853,1.6649999618530271
MFF.AX,3.574329853057861,3.839999914169311
MYS.AX,3.616915702819824,3.6700000762939458
NAB.AX,34.0603141784668,37.349998474121094
NGI.AX,2.072654724121094,1.7400000095367432
OIL.AX,0.135000005364418,0.1949999928474426
PGF.AX,2.252770185470581,2.2799999713897705
PME.AX,122.7422180175781,178.25
QUB.AX,3.64114785194397,3.950000047683716
RC1.AX,0.0260000005364418,0.0089999996125698
RPL.AX,3.300236225128174,3.609999895095825
SUM.AX,0.2549999952316284,0.2349999994039535
TNE.AX,18.03000068664551,23.86000061035156
URW.AX,6.650000095367432,6.400000095367432
VBC.AX,0.1400000005960464,0.135000005364418
VGL.AX,2.069999933242798,2.440000057220459
WAA.AX,0.8803260922431946,0.8999999761581421
WCN.AX,0.0189999993890523,0.0199999995529651
BEN.AX,10.7765645980835,11.649999618530272
GDC.AX,2.065690755844116,3.2100000381469727
SNL.AX,22.74649238586425,30.5
WGB.AX,2.220262050628662,2.2899999618530273
GVF.AX,1.149843215942383,1.2100000381469729
QRI.AX,1.566253423690796,1.625
PSQ.AX,1.866890072822571,1.8049999475479128
PXA.AX,14.80000019073486,14.800000190734863
ALQ.AX,14.20440673828125,14.420000076293944
TCF.AX,5.024462223052979,5.880000114440918
DUI.AX,4.984550952911377,5.289999961853027
ANZ.AX,28.04658508300781,30.479999542236328
LSF.AX,3.117236852645874,3.130000114440918
LGI.AX,2.986071586608887,2.7899999618530273
PMC.AX,1.395209074020386,1.4249999523162842
PL8.AX,1.183017134666443,1.2400000095367432
VG1.AX,1.904999971389771,2.0399999618530273
KAT.AX,1.199979186058044,1.1699999570846558
FGX.AX,1.138499975204468,1.2699999809265137
TRA.AX,4.23835563659668,4.300000190734863
AMC.AX,14.99050140380859,16.34000015258789
PBH.AX,0.5299999713897705,0.699999988079071
EZZ.AX,1.048364758491516,4.53000020980835
RG8.AX,2.058786392211914,2.140000104904175
AUI.AX,10.03662109375,11.010000228881836
LCE.AX,0.5053437352180481,0.7200000286102295
GCI.AX,1.950838565826416,2.049999952316284
QBE.AX,17.81131935119629,16.540000915527344
DJW.AX,2.914303779602051,3.180000066757202
ELS.AX,0.4950000047683716,0.4250000119209289
NWS.AX,41.76956558227539,40.34000015258789
KSL.AX,0.9334518909454346,1.0199999809265137
AIQ.AX,1.365304946899414,1.399999976158142
IGNDA.AX,0.699999988079071,0.800000011920929
TDO.AX,0.0850000008940696,0.0700000002980232
MQG.AX,191.0513916015625,232.3699951171875
AAC.AX,1.519999980926514,1.4500000476837158
BGA.AX,4.444931507110596,5.260000228881836
BWP.AX,3.614201307296753,3.75
WAR.AX,1.060603141784668,1.1950000524520874
WBC.AX,26.12957191467285,31.719999313354492
OFX.AX,2.109999895095825,2.1600000858306885
ALL.AX,45.97000122070312,58.599998474121094
GFL.AX,3.099999904632568,3.2799999713897705
NXT.AX,17.69000053405762,17.5
KKC.AX,2.228387832641602,2.299999952316284
COS.AX,1.132811784744263,0.9449999928474426
MAH.AX,0.2799705862998962,0.324999988079071
MXT.AX,1.99465548992157,2.059999942779541
RYD.AX,1.085686326026917,1.2400000095367432
FRI.AX,0.7608333230018616,0.8349999785423279
RUL.AX,2.700000047683716,3.0
IAG.AX,6.264512538909912,7.360000133514404
ORG.AX,9.952359199523926,10.010000228881836
ORI.AX,18.09676361083984,18.549999237060547
DXI.AX,2.94636058807373,2.9000000953674316
TLX.AX,17.88999938964844,20.729999542236328
GIB.AX,0.0480000004172325,0.0379999987781047
PIC.AX,1.156606435775757,1.2000000476837158
AUB.AX,30.28180313110352,30.780000686645508
PNR.AX,0.0900000035762786,0.1150000020861625
VVA.AX,1.559999942779541,1.3799999952316284
MDR.AX,0.4399999976158142,0.4250000119209289
QOR.AX,0.4350000023841858,0.4099999964237213
GDI.AX,0.621982753276825,0.6800000071525574
NTU.AX,0.0419999994337558,0.0199999995529651
RF1.AX,3.114896297454834,3.450000047683716
A2M.AX,7.150000095367432,6.239999771118164
CDP.AX,4.187556266784668,4.579999923706055
TLC.AX,5.054134368896484,5.119999885559082
PGC.AX,0.3799999952316284,0.4449999928474426
SUN.AX,15.79490375518799,18.09000015258789
GTK.AX,8.930000305175781,10.489999771118164
CTE.AX,1.04146671295166,0.800000011920929
WQG.AX,1.480329275131226,1.6150000095367432
CEN.AX,8.324372291564941,7.260000228881836
WEB.AX,8.829999923706055,7.349999904632568
HPI.AX,3.21346116065979,3.7100000381469727
CAR.AX,35.34141159057617,37.459999084472656
TOP.AX,0.6447692513465881,0.6449999809265137
CDA.AX,10.7455005645752,16.1200008392334
DXB.AX,0.4900000095367431,0.375
SVM.AX,0.6499999761581421,0.7149999737739563
S32.AX,3.794711589813232,3.7699999809265137
APZ.AX,1.717977523803711,2.299999952316284
PNI.AX,12.87271690368652,18.049999237060547
DBI.AX,2.801368951797486,3.2300000190734863
GNP.AX,1.860816359519958,2.450000047683716
AMH.AX,1.090133428573608,1.1449999809265137
NWL.AX,20.76278686523438,24.86000061035156
PNC.AX,0.4650000035762787,0.5350000262260437
BGP.AX,4.125533580780029,3.940000057220459
ARG.AX,8.515618324279785,8.949999809265137
PRO.AX,0.9100000262260436,0.6499999761581421
PEX.AX,0.1500000059604644,0.1099999994039535
MOT.AX,2.103690385818481,2.1700000762939453
IPL.AX,2.936709403991699,3.109999895095825
LSX.AX,0.4449999928474426,0.5099999904632568
WAT.AX,5.178692817687988,5.320000171661377
CIN.AX,29.33539199829102,29.799999237060547
SRG.AX,0.8471052646636963,1.1100000143051147
CVL.AX,0.914496123790741,1.1699999570846558
HM1.AX,2.482420444488525,2.8399999141693115
DXC.AX,2.593671560287476,3.0399999618530273
MWY.AX,0.7275744676589966,0.8799999952316284
SHA.AX,2.097126960754395,2.700000047683716
REA.AX,185.3630981445312,201.0
EGH.AX,0.5192577838897705,0.6600000262260437
MEC.AX,1.029999971389771,0.9800000190734864
ACR.AX,0.0780000016093254,0.0560000017285347
MAQ.AX,89.0,83.16999816894531
TWR.AX,0.7376865744590759,1.225000023841858
FPC.AX,1.0,0.8799999952316284
LAM.AX,1.0,0.699999988079071
LPE.AX,0.125,0.1299999952316284
ECP.AX,1.223639488220215,1.399999976158142
WHC.AX,7.860337257385254,7.21999979019165
BFG.AX,1.287142872810364,1.3799999952316284
BOQ.AX,5.812946319580078,6.179999828338623
CU6.AX,5.170000076293945,8.380000114440918
AII.AX,0.7300000190734863,0.8999999761581421
GSS.AX,0.7300000190734863,0.6650000214576721
CD3.AX,1.388028144836426,1.2799999713897705
GEM.AX,1.186389923095703,1.4149999618530271
MMI.AX,0.0480000004172325,0.0430000014603138
AAP.AX,0.0240000002086162,0.0359999984502792
SEG.AX,0.2239999920129776,0.2549999952316284
MEZ.AX,5.831722736358643,5.440000057220459
MAU.AX,1.075000047683716,1.3250000476837158
ARF.AX,3.727967739105225,4.159999847412109
CHW.AX,0.5899999737739563,0.9800000190734864
WHF.AX,5.130000114440918,5.550000190734863
TTT.AX,0.0920000001788139,0.1299999952316284
SXE.AX,1.557894706726074,1.8350000381469729
BIS.AX,3.757079839706421,3.3499999046325684
NGE.AX,1.139999985694885,1.125
SGLLV.AX,6.854835033416748,9.0
WTC.AX,97.38739013671876,137.19000244140625
NWH.AX,2.874787569046021,3.5799999237060547
RDX.AX,3.101544857025146,3.299999952316284
WAF.AX,1.465000033378601,1.7350000143051147
TPC.AX,11.0,10.050000190734863
BKI.AX,1.665804624557495,1.7549999952316284
APW.AX,1.529999971389771,1.7000000476837158
OPH.AX,2.545300006866455,2.7200000286102295
NWSLV.AX,39.10200119018555,40.0
RSG.AX,0.5350000262260437,0.7400000095367432
AFI.AX,7.030636787414551,7.449999809265137
HDN.AX,1.19347608089447,1.2450000047683716
EEG.AX,0.209999993443489,0.2399999946355819
GQG.AX,2.434649229049683,2.809999942779541
EBG.AX,1.209590554237366,1.159999966621399
CBO.AX,1.837859392166138,1.7000000476837158
DOW.AX,4.804770469665527,5.480000019073486
CAM.AX,0.7930593490600586,0.8149999976158142
